column,present_in_count,present_in_attacks,missing_from_attacks
NW_LAYER_ARRIVAL_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
NW_LAYER_PAYLOAD(Bytes),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Node_Type,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Number_of_Sibils,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PACKET_ID,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PACKET_STATUS,1,worst_parent,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole
PACKET_TYPE,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PHY_LAYER_ARRIVAL_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PHY_LAYER_END_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PHY_LAYER_OVERHEAD(Bytes),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PHY_LAYER_PAYLOAD(Bytes),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PHY_LAYER_START_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
PKT_E2E_DELAY,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
PKT_STATUS,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
PKT_TYPE,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
PRT_BST_LQ,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Parents_Count,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Parrent_Node,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
RANK_ALT_COUNT,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
RECEIVER_ID,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
REMOTE_ADDRESS,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
RPL_NEIGHBOUR_COUNT,1,worst_parent,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole
RSSI(dbm),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Rcv_host_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
SEGMENT_ID,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
SEGMENT_LEN,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
SEQ_NO,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
SOURCE_ID,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
SOURCE_IP,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Sibiling_Same_Parent,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Source_Rank,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Src_DAOAck_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Src_DAO_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Src_DIO_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Src_DIS_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Src_host_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
TRANSMITTER_ID,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
TRX_LAYER_ARRIVAL_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
TRX_LAYER_PAYLOAD(Bytes),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
TX_RX_Distance,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
TYPE,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Trp_app_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Trs_DAOAck_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
cpkt_loss,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
dst_cpkt_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
hop_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
isAck,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
isFin,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
isSyn,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
pkt_loss,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
same_parent,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
src_cpkt_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
