run_name,seed,rate_profile,mode,window_start_seconds,virtual_identity_count,identity_consistency_alert,attack_window
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,120,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,180,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,240,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,300,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,360,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,420,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,480,0,0,0
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,0,0,0,0
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,60,0,0,0
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,120,0,0,0
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,180,0,0,0
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,240,6,1,1
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,300,6,1,1
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,360,6,1,1
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,420,6,1,1
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,480,7,1,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,0,0,0,0
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,60,0,0,0
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,120,0,0,0
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,180,0,0,0
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,240,16,1,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,300,16,1,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,360,16,1,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,420,16,1,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,480,16,1,1
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,0,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,60,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,120,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,180,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,240,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,300,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,360,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,420,0,0,0
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,480,0,0,0
