model,family,mode,seed,window_start_s,window_label,prediction,sensor_score,sensor_cusum,sensor_alarm,ddm_state,adaptive_window_state,model_reset,source_model,feature_count
ddm_reset_gaussian,sinkhole,attack,123456,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,300,1,0,11.0,22.0,1,drift,stable,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,360,1,0,11.0,33.0,1,drift,drift,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,420,1,0,11.0,44.0,1,drift,drift,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,480,1,1,11.0,55.0,1,drift,stable,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,360,1,0,11.0,33.0,1,drift,drift,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,420,1,0,11.0,44.0,1,drift,drift,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,123456,480,1,1,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,123456,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,123456,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,123456,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,123456,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,360,1,0,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,420,1,0,11.0,44.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,234567,480,1,0,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,360,1,1,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,420,1,1,11.0,44.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,234567,480,1,1,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,300,1,0,11.0,22.0,1,drift,stable,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,360,1,0,11.0,33.0,1,drift,drift,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,420,1,1,11.0,44.0,1,drift,drift,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,234567,480,1,1,11.0,55.0,1,drift,stable,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,360,1,0,11.0,33.0,1,drift,drift,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,420,1,1,11.0,44.0,1,drift,drift,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,234567,480,1,1,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,234567,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,234567,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,234567,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,234567,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,360,1,0,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,420,1,0,11.0,44.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,345678,480,1,0,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,360,1,1,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,420,1,1,11.0,44.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,345678,480,1,1,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,300,1,0,11.0,22.0,1,drift,stable,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,360,1,0,11.0,33.0,1,drift,drift,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,420,1,0,11.0,44.0,1,drift,drift,1,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,345678,480,1,0,11.0,55.0,1,drift,stable,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,360,1,0,11.0,33.0,1,drift,drift,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,420,1,0,11.0,44.0,1,drift,drift,1,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,attack,345678,480,1,0,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,control,345678,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,control,345678,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,control,345678,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,240,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,300,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,360,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,420,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
adaptive_window_reset_gaussian,sinkhole,control,345678,480,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,360,1,0,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,420,1,0,11.0,44.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,456789,480,1,0,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
