relative_file_path,filename,filesystem_modified,timezone,file_size_bytes,category,description
"control silent 16 mote.csc","control silent 16 mote.csc","2026-07-02 16:29:26","+0100",14896,"Experiment configuration","Control/baseline simulation code, configuration, or evidence"
"control-router.c","control-router.c","2026-07-27 15:30:31","+0100",492,"Source code","Control/baseline simulation code, configuration, or evidence"
"dis-flooder.c","dis-flooder.c","2026-07-02 14:20:18","+0100",917,"Source code","DIS flooding attack code, configuration, or evidence"
"experiment_notes.txt","experiment_notes.txt","2026-07-27 15:42:15","+0100",3328,"Documentation / notes","Narrative experiment notes with DIS flooding and blackhole results"
"experiments/blackhole/code/Makefile","Makefile","2026-07-02 14:32:40","+0100",107,"Build configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/code/blackhole-router.c","blackhole-router.c","2026-08-12 12:32:18","+0100",824,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/code/control-router.c","control-router.c","2026-07-27 15:30:31","+0100",492,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/code/udp-client.c","udp-client.c","2026-07-02 14:14:00","+0100",2787,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/code/udp-server.c","udp-server.c","2026-07-02 14:14:01","+0100",3111,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/code/uip6_blackhole_modified.c","uip6_blackhole_modified.c","2026-08-12 12:41:32","+0100",76900,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_ATTACK_N16_SEED123456.csc","BH_ATTACK_N16_SEED123456.csc","2026-08-17 13:05:33","+0100",12803,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_ATTACK_N16_SEED234567.csc","BH_ATTACK_N16_SEED234567.csc","2026-08-12 14:21:08","+0100",20536,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_ATTACK_N16_SEED345678.csc","BH_ATTACK_N16_SEED345678.csc","2026-08-12 14:21:08","+0100",20536,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_ATTACK_N16_SEED456789.csc","BH_ATTACK_N16_SEED456789.csc","2026-08-12 14:21:08","+0100",20536,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_ATTACK_N16_SEED567890.csc","BH_ATTACK_N16_SEED567890.csc","2026-08-12 14:21:08","+0100",20536,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_CONTROL_N16_SEED123456.csc","BH_CONTROL_N16_SEED123456.csc","2026-08-12 13:20:44","+0100",17848,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_CONTROL_N16_SEED234567.csc","BH_CONTROL_N16_SEED234567.csc","2026-08-12 14:21:08","+0100",20532,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_CONTROL_N16_SEED345678.csc","BH_CONTROL_N16_SEED345678.csc","2026-08-12 14:21:08","+0100",20532,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_CONTROL_N16_SEED456789.csc","BH_CONTROL_N16_SEED456789.csc","2026-08-12 14:21:08","+0100",20532,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_final_fix/BH_CONTROL_N16_SEED567890.csc","BH_CONTROL_N16_SEED567890.csc","2026-08-12 14:21:08","+0100",20532,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_ATTACK_N16_SEED234567.csc","BH_ATTACK_N16_SEED234567.csc","2026-08-12 13:20:44","+0100",17852,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_ATTACK_N16_SEED345678.csc","BH_ATTACK_N16_SEED345678.csc","2026-08-12 13:20:44","+0100",17852,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_ATTACK_N16_SEED456789.csc","BH_ATTACK_N16_SEED456789.csc","2026-08-12 13:20:44","+0100",17852,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_ATTACK_N16_SEED567890.csc","BH_ATTACK_N16_SEED567890.csc","2026-08-12 13:20:44","+0100",17852,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_CONTROL_N16_SEED234567.csc","BH_CONTROL_N16_SEED234567.csc","2026-08-12 13:20:44","+0100",17848,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_CONTROL_N16_SEED345678.csc","BH_CONTROL_N16_SEED345678.csc","2026-08-12 13:20:44","+0100",17848,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_CONTROL_N16_SEED456789.csc","BH_CONTROL_N16_SEED456789.csc","2026-08-12 13:20:44","+0100",17848,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/config_backups_before_headless/BH_CONTROL_N16_SEED567890.csc","BH_CONTROL_N16_SEED567890.csc","2026-08-12 13:20:44","+0100",17848,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/README.txt","README.txt","2026-08-17 13:27:10","+0100",1295,"Documentation / notes","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/SHA256SUMS.txt","SHA256SUMS.txt","2026-08-17 13:27:10","+0100",7251,"SHA256 manifest","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/CONTIKI_COMMIT.txt","CONTIKI_COMMIT.txt","2026-08-17 13:27:10","+0100",41,"Version evidence","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/Makefile","Makefile","2026-07-02 14:32:40","+0100",107,"Build configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/blackhole-router.c","blackhole-router.c","2026-08-17 13:12:04","+0100",822,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/control-router.c","control-router.c","2026-07-27 15:30:31","+0100",492,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/rpl-icmp6_snapshot.c","rpl-icmp6_snapshot.c","2026-07-27 16:26:55","+0100",24475,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/udp-client.c","udp-client.c","2026-06-25 14:35:24","+0100",2787,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/udp-server.c","udp-server.c","2026-06-25 14:35:24","+0100",3111,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/code/uip6_blackhole_modified.c","uip6_blackhole_modified.c","2026-08-12 12:41:32","+0100",76900,"Source code","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_ATTACK_N16_SEED123456.csc","BH_ATTACK_N16_SEED123456.csc","2026-08-17 13:20:22","+0100",15486,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_ATTACK_N16_SEED234567.csc","BH_ATTACK_N16_SEED234567.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_ATTACK_N16_SEED345678.csc","BH_ATTACK_N16_SEED345678.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_ATTACK_N16_SEED456789.csc","BH_ATTACK_N16_SEED456789.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_ATTACK_N16_SEED567890.csc","BH_ATTACK_N16_SEED567890.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_CONTROL_N16_SEED123456.csc","BH_CONTROL_N16_SEED123456.csc","2026-08-17 13:20:22","+0100",15482,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_CONTROL_N16_SEED234567.csc","BH_CONTROL_N16_SEED234567.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_CONTROL_N16_SEED345678.csc","BH_CONTROL_N16_SEED345678.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_CONTROL_N16_SEED456789.csc","BH_CONTROL_N16_SEED456789.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/configs/BH_CONTROL_N16_SEED567890.csc","BH_CONTROL_N16_SEED567890.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED123456.log","BH_ATTACK_N16_SEED123456.log","2026-08-17 13:21:58","+0100",184544,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED123456_radio.log","BH_ATTACK_N16_SEED123456_radio.log","2026-08-17 13:21:58","+0100",213328,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED234567.log","BH_ATTACK_N16_SEED234567.log","2026-08-17 13:22:18","+0100",185604,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED234567_radio.log","BH_ATTACK_N16_SEED234567_radio.log","2026-08-17 13:22:18","+0100",210128,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED345678.log","BH_ATTACK_N16_SEED345678.log","2026-08-17 13:22:39","+0100",184332,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED345678_radio.log","BH_ATTACK_N16_SEED345678_radio.log","2026-08-17 13:22:39","+0100",211207,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED456789.log","BH_ATTACK_N16_SEED456789.log","2026-08-17 13:22:59","+0100",183465,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED456789_radio.log","BH_ATTACK_N16_SEED456789_radio.log","2026-08-17 13:22:59","+0100",209212,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED567890.log","BH_ATTACK_N16_SEED567890.log","2026-08-17 13:23:19","+0100",184690,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_ATTACK_N16_SEED567890_radio.log","BH_ATTACK_N16_SEED567890_radio.log","2026-08-17 13:23:19","+0100",210157,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED123456.log","BH_CONTROL_N16_SEED123456.log","2026-08-17 13:21:49","+0100",218798,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED123456_radio.log","BH_CONTROL_N16_SEED123456_radio.log","2026-08-17 13:21:49","+0100",330144,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED234567.log","BH_CONTROL_N16_SEED234567.log","2026-08-17 13:22:09","+0100",220417,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED234567_radio.log","BH_CONTROL_N16_SEED234567_radio.log","2026-08-17 13:22:09","+0100",325480,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED345678.log","BH_CONTROL_N16_SEED345678.log","2026-08-17 13:22:29","+0100",219397,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED345678_radio.log","BH_CONTROL_N16_SEED345678_radio.log","2026-08-17 13:22:29","+0100",329299,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED456789.log","BH_CONTROL_N16_SEED456789.log","2026-08-17 13:22:50","+0100",217736,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED456789_radio.log","BH_CONTROL_N16_SEED456789_radio.log","2026-08-17 13:22:50","+0100",324744,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED567890.log","BH_CONTROL_N16_SEED567890.log","2026-08-17 13:23:10","+0100",219705,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/logs/BH_CONTROL_N16_SEED567890_radio.log","BH_CONTROL_N16_SEED567890_radio.log","2026-08-17 13:23:10","+0100",326773,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED123456/COOJA.radio","COOJA.radio","2026-08-17 13:21:58","+0100",213328,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED123456/COOJA.testlog","COOJA.testlog","2026-08-17 13:21:58","+0100",184544,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED123456/console.log","console.log","2026-08-17 13:21:58","+0100",2442,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED234567/COOJA.radio","COOJA.radio","2026-08-17 13:22:18","+0100",210128,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED234567/COOJA.testlog","COOJA.testlog","2026-08-17 13:22:18","+0100",185604,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED234567/console.log","console.log","2026-08-17 13:22:18","+0100",2442,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED345678/COOJA.radio","COOJA.radio","2026-08-17 13:22:39","+0100",211207,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED345678/COOJA.testlog","COOJA.testlog","2026-08-17 13:22:39","+0100",184332,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED345678/console.log","console.log","2026-08-17 13:22:39","+0100",2442,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED456789/COOJA.radio","COOJA.radio","2026-08-17 13:22:59","+0100",209212,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED456789/COOJA.testlog","COOJA.testlog","2026-08-17 13:22:59","+0100",183465,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED456789/console.log","console.log","2026-08-17 13:22:59","+0100",2441,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED567890/COOJA.radio","COOJA.radio","2026-08-17 13:23:19","+0100",210157,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED567890/COOJA.testlog","COOJA.testlog","2026-08-17 13:23:19","+0100",184690,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED567890/console.log","console.log","2026-08-17 13:23:19","+0100",2442,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED123456/COOJA.radio","COOJA.radio","2026-08-17 13:21:49","+0100",330144,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED123456/COOJA.testlog","COOJA.testlog","2026-08-17 13:21:49","+0100",218798,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED123456/console.log","console.log","2026-08-17 13:21:49","+0100",2468,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED234567/COOJA.radio","COOJA.radio","2026-08-17 13:22:09","+0100",325480,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED234567/COOJA.testlog","COOJA.testlog","2026-08-17 13:22:09","+0100",220417,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED234567/console.log","console.log","2026-08-17 13:22:09","+0100",2439,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED345678/COOJA.radio","COOJA.radio","2026-08-17 13:22:29","+0100",329299,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED345678/COOJA.testlog","COOJA.testlog","2026-08-17 13:22:29","+0100",219397,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED345678/console.log","console.log","2026-08-17 13:22:29","+0100",2439,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
